#id	100_10000seq_sampleA1	100_10000seq_sampleA2	100_10000seq_sampleA3	100_10000seq_sampleB1	100_10000seq_sampleB2	100_10000seq_sampleB3	100_10000seq_sampleC1	100_10000seq_sampleC2	100_10000seq_sampleC3
2_64281	0	0	0	0	0	1	0	0	0
2_44685	0	0	0	0	0	1	0	0	0
3_45287	0	0	0	0	0	0	0	0	1
3_44814	0	0	0	0	0	0	0	1	1
1_77523	1	0	0	0	0	0	0	0	0
3_16993	0	0	0	0	0	0	1	0	0
2_11993	0	0	0	0	0	1	0	0	0
2_99804	0	0	0	0	0	1	0	0	0
2_18801	0	0	0	1	0	0	0	0	0
3_35845	0	0	0	0	0	0	0	1	0
3_15191	0	0	0	0	0	0	0	1	0
2_20849	0	0	0	0	1	0	0	0	0
2_77083	0	0	0	1	0	0	0	0	0
2_5630	0	0	0	0	0	1	0	0	0
2_26231	0	0	0	1	0	0	0	0	0
2_5009	0	0	0	0	1	1	0	0	0
3_7401	0	0	0	0	0	0	1	0	0
3_22483	0	0	0	0	0	0	0	0	1
2_32468	0	0	0	1	0	0	0	0	0
2_33631	0	0	0	1	0	0	0	0	0
2_26974	0	0	0	1	0	0	0	0	0
2_81197	0	0	0	0	0	1	0	0	0
2_78238	0	0	0	0	1	0	0	0	0
2_70692	0	0	0	0	0	1	0	0	0
2_31267	0	0	0	0	1	0	0	0	0
2_45896	0	0	0	0	1	0	0	0	0
3_9685	0	0	0	0	0	0	0	1	0
2_21871	0	0	0	1	0	0	0	0	0
2_89869	0	0	0	0	1	0	0	0	0
2_36904	0	0	0	0	0	1	0	0	0
2_20183	0	0	0	1	0	0	0	0	0
2_1433	0	0	0	1	0	0	0	0	0
2_63504	0	0	0	0	0	1	0	0	0
2_90058	0	0	0	1	0	1	0	0	0
2_93408	0	0	0	0	1	0	0	0	0
2_91842	0	0	0	0	1	0	0	0	0
2_54499	0	0	0	0	1	0	0	0	0
2_1825	0	0	0	0	0	1	0	0	0
2_83578	0	0	0	1	0	0	0	0	0
2_13975	0	0	0	1	0	0	0	0	0
2_12157	0	0	0	0	1	0	0	0	0
2_8356	0	0	0	1	0	0	0	0	0
2_92675	0	0	0	0	0	1	0	0	0
3_53931	0	0	0	0	0	0	1	0	0
2_67102	0	0	0	0	1	1	0	0	0
2_4620	0	0	0	1	0	0	0	0	0
2_46934	0	0	0	1	0	0	0	0	0
2_84860	0	0	0	1	0	0	0	0	0
2_27799	0	0	0	0	0	1	0	0	0
2_88821	0	0	0	0	1	0	0	0	0
2_70392	0	0	0	1	0	0	0	0	0
1_55005	0	2	0	2	7	4	1	3	3
2_30477	0	0	0	0	1	1	0	0	0
3_18742	0	0	0	0	0	0	1	0	0
2_82934	0	0	0	0	1	0	0	0	0
1_34951	0	1	0	0	0	0	0	0	0
2_91280	0	0	0	0	0	1	0	0	0
3_84289	0	0	0	0	0	0	1	0	0
2_68428	0	0	0	0	1	0	0	0	0
2_196	0	0	0	0	0	1	0	0	0
2_10273	0	0	0	1	1	1	0	0	0
3_89156	0	0	0	0	0	0	0	0	1
2_92133	0	0	0	1	0	0	0	0	0
2_10991	0	0	0	0	0	1	0	0	0
2_94027	0	0	0	0	1	1	0	0	0
2_25342	0	0	0	0	0	1	0	0	0
2_91078	0	0	0	1	0	0	0	0	0
2_47418	0	0	0	0	1	0	0	0	0
2_41545	0	0	0	0	0	2	0	0	0
2_43007	0	0	0	0	1	0	0	0	0
2_9332	0	0	0	0	1	0	0	0	0
2_88343	0	0	0	1	0	0	0	0	0
2_62056	0	0	0	0	0	1	0	0	0
2_31902	0	0	0	2	0	0	0	0	0
3_36674	0	0	0	0	0	0	1	0	0
2_90067	0	0	0	1	0	1	0	0	0
2_75074	0	0	0	0	0	1	0	0	0
3_55142	0	0	0	0	0	0	0	1	0
3_2175	0	0	0	0	0	0	0	1	0
1_8039	1	0	0	0	0	0	0	0	0
2_23131	0	0	0	0	0	2	0	0	0
2_38815	0	0	0	1	0	0	0	0	0
2_11865	0	0	0	1	0	0	0	0	0
2_48032	0	0	0	0	1	0	0	0	0
2_43765	0	0	0	1	0	0	0	0	0
2_87944	0	0	0	0	0	1	0	0	0
